Listing...
libx11-xcb1/stable 2:1.6.7-1+deb10u2 armhf [upgradable from: 2:1.6.7-1]
libxml2/stable 2.9.4+dfsg1-7+deb10u1 armhf [upgradable from: 2.9.4+dfsg1-7+b3]
libzmq5/stable 4.3.1-4+deb10u2 armhf [upgradable from: 4.3.1-4+deb10u1]
libzstd1/stable 1.3.8+dfsg-3+rpi1+deb10u2 armhf [upgradable from: 1.3.8+dfsg-3+rpi1]
linux-libc-dev/testing 1:1.20210527-1 armhf [upgradable from: 4.18.20-2+rpi1]
mesa-va-drivers/testing 19.3.2-1~bpo10+1~rpt3 armhf [upgradable from: 19.3.2-1~bpo10+1~rpt1]
mesa-vdpau-drivers/testing 19.3.2-1~bpo10+1~rpt3 armhf [upgradable from: 19.3.2-1~bpo10+1~rpt1]
nfs-common/stable 1:1.3.4-2.5+deb10u1 armhf [upgradable from: 1:1.3.4-2.5]
node-ini/stable 1.3.5-1+deb10u1 all [upgradable from: 1.3.5-1]
node-y18n/stable 3.2.1-2+deb10u1 all [upgradable from: 3.2.1-2]
nodejs-doc/stable 10.24.0~dfsg-1~deb10u1 all [upgradable from: 10.21.0~dfsg-1~deb10u1+rpi1]
nodejs/stable 10.24.0~dfsg-1~deb10u1 armhf [upgradable from: 10.21.0~dfsg-1~deb10u1+rpi1]
npm/stable 5.8.0+ds6-4+deb10u2 all [upgradable from: 5.8.0+ds6-4+deb10u1]
openssh-client/testing 1:7.9p1-10+deb10u2+rpt1 armhf [upgradable from: 1:7.9p1-10+deb10u2]
openssh-server/testing 1:7.9p1-10+deb10u2+rpt1 armhf [upgradable from: 1:7.9p1-10+deb10u2]
openssh-sftp-server/testing 1:7.9p1-10+deb10u2+rpt1 armhf [upgradable from: 1:7.9p1-10+deb10u2]
openssl/testing 1.1.1d-0+deb10u6+rpt1 armhf [upgradable from: 1.1.1d-0+deb10u3+rpt1]
pi-bluetooth/testing 0.1.17 all [upgradable from: 0.1.13]
picap/testing 2.1.2 armhf [upgradable from: 2.1.0]
policykit-1/testing 0.105-25+rpt1 armhf [upgradable from: 0.105-25]
python-apt-common/stable 1.8.4.3 all [upgradable from: 1.8.4.1]
python-gpiozero/testing 1.6.2-1 all [upgradable from: 1.5.1]
python-rpi.gpio-dbgsym/testing 0.7.0-0.1~bpo10+4 armhf [upgradable from: 0.7.0-0.1~bpo10+1]
python-rpi.gpio/testing 0.7.0-0.1~bpo10+4 armhf [upgradable from: 0.7.0-0.1~bpo10+1]
python-spidev/testing 20200602~200721-1~buster armhf [upgradable from: 20190221~182651-1]
python3-apt/stable 1.8.4.3 armhf [upgradable from: 1.8.4.1]
python3-gpiozero/testing 1.6.2-1 all [upgradable from: 1.5.1]
python3-rpi.gpio-dbgsym/testing 0.7.0-0.1~bpo10+4 armhf [upgradable from: 0.7.0-0.1~bpo10+1]
python3-rpi.gpio/testing 0.7.0-0.1~bpo10+4 armhf [upgradable from: 0.7.0-0.1~bpo10+1]
python3-spidev/testing 20200602~200721-1~buster armhf [upgradable from: 20190221~182651-1]
python3.7-minimal/stable 3.7.3-2+deb10u3 armhf [upgradable from: 3.7.3-2+deb10u1]
python3.7/stable 3.7.3-2+deb10u3 armhf [upgradable from: 3.7.3-2+deb10u1]
raspberrypi-bootloader/testing 1:1.20210527-1 armhf [upgradable from: 1.20200723-1]
raspberrypi-kernel/testing 1:1.20210527-1 armhf [upgradable from: 1.20200723-1]
raspberrypi-sys-mods/testing 20210310 armhf [upgradable from: 20200514]
raspi-config/testing 20210212 all [upgradable from: 20200707]
rpi-eeprom/testing 12.4-1 all [upgradable from: 7.8-1]
rpi.gpio-common/testing 0.7.0-0.1~bpo10+4 armhf [upgradable from: 0.7.0-0.1~bpo10+1]
ssh/testing 1:7.9p1-10+deb10u2+rpt1 all [upgradable from: 1:7.9p1-10+deb10u2]
sudo/stable 1.8.27-1+deb10u3 armhf [upgradable from: 1.8.27-1+deb10u2]
systemd-sysv/stable 241-7~deb10u7+rpi1 armhf [upgradable from: 241-7~deb10u4+rpi1]
systemd/stable 241-7~deb10u7+rpi1 armhf [upgradable from: 241-7~deb10u4+rpi1]
tzdata/stable 2021a-0+deb10u1 all [upgradable from: 2020a-0+deb10u1]
udev/stable 241-7~deb10u7+rpi1 armhf [upgradable from: 241-7~deb10u4+rpi1]
unzip/stable 6.0-23+deb10u2 armhf [upgradable from: 6.0-23+deb10u1]
wpasupplicant/stable 2:2.7+git20190128+0c1e29f-6+deb10u3 armhf [upgradable from: 2:2.7+git20190128+0c1e29f-6+deb10u2]
